Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
1.0793649494,-2.5614482895,0.0485176899,250,89,2.78
0.783934413,-1.8603600779,-0.5409318043,139,105,2.09
0.8124479957,-1.9112245993,0.556460947,94,75,2.15
1.0482912902,-2.4660287324,-0.0467724493,250,91,2.68
0.811926787,-1.9099984939,0.4791457458,112,77,2.13
0.8321418103,-1.9575528604,-0.1114755868,226,93,2.13
0.7987727582,-1.8790546014,0.3968827104,82,79,2.08
0.7911404637,-1.8611001857,-0.1769261578,80,95,2.03
0.7998408964,-1.8815673184,0.3238193426,79,81,2.07
0.8076577753,-1.8999559556,-0.2534882343,190,97,2.08
0.7960088651,-1.8725527447,0.249832154,80,83,2.05
0.7959769307,-1.8724776213,-0.322254998,183,99,2.06
1.0015916215,-2.3561711711,0.2239902589,250,85,2.57
0.8026130118,-1.8880885177,-0.3987908003,177,101,2.09
0.9298110368,-2.1873125858,0.1245595759,233,87,2.38
0.7928674728,-1.8651628485,-0.467898193,99,103,2.08
1.0287336168,-2.4200207336,0.0458998289,250,89,2.63
0.7897750284,-1.8578880988,-0.5409318043,142,105,2.09
0.8108347935,-1.8909077886,0.5512845661,72,75,2.13
1.0284504011,-2.3983984029,-0.0455507808,250,91,2.61
0.8179232077,-1.9074383294,0.4791457458,83,77,2.13
0.9327424601,-2.1752026389,-0.1240362163,232,93,2.37
0.8085406464,-1.8855577214,0.3987908003,79,79,2.09
0.7969833686,-1.8586055646,-0.1769261578,80,95,2.03
0.8057480577,-1.8790452631,0.3238193426,79,81,2.07
0.8136226676,-1.8974092521,-0.2534882343,190,97,2.08
0.8018877252,-1.8700427725,0.249832154,80,83,2.05
0.801855555,-1.8699677498,-0.322254998,184,99,2.06
0.7969833686,-1.8586055646,0.1769261578,139,85,2.03
0.8124092619,-1.8945795287,-0.4006988903,175,101,2.1
0.8028669276,-1.8723263221,0.1067653507,139,87,2.04
0.7987231324,-1.8626627818,-0.467898193,99,103,2.08
0,0,0,141,89,0
0.7994145851,-1.8642752845,-0.5435199947,141,105,2.1
0.8206058512,-1.8972166472,0.5538727565,70,75,2.14
1.0359801043,-2.3951556003,-0.0455507808,250,91,2.61
0.8200434264,-1.8959163377,0.4768962352,66,77,2.12
0.951464756,-2.1997585951,-0.125606295,237,93,2.4
0.8183572402,-1.8920179245,0.4006988903,82,79,2.1
0.8067731781,-1.8652359131,-0.1777977152,81,95,2.04
0.8155682678,-1.8855699023,0.3253836873,78,81,2.08
0.8156392435,-1.8857339959,-0.2522695408,192,97,2.07
0.8077586711,-1.8675143438,0.249832154,75,83,2.05
0.8116472665,-1.8765046624,-0.3238193426,185,99,2.07
0.9333258335,-2.1578219387,0.2056875529,230,85,2.36
0.8144603009,-1.8830083154,-0.3987908003,176,101,2.09
0.8246027885,-1.9064574491,0.108858789,187,87,2.08
0.8007027796,-1.8512013297,-0.4656486825,89,103,2.07
0.9843795627,-2.2758566624,0.043281968,250,89,2.48
0.8052674241,-1.8617546538,-0.5435199947,147,105,2.1
0.8188371945,-1.8769224641,0.5486963756,63,75,2.12
1.0714861617,-2.4560394425,-0.0467724493,250,91,2.68
0.8182031557,-1.8754691328,0.4723972141,69,77,2.1
0.9583707948,-2.19675863,-0.125606295,237,93,2.4
0.8203719171,-1.8804403248,0.3987908003,80,79,2.09
0.8086455232,-1.8535613161,-0.1769261578,80,95,2.03
0.821487926,-1.8829984184,0.3253836873,80,81,2.08
0.8215594168,-1.8831622881,-0.2522695408,193,97,2.07
0.8056838725,-1.8467726787,0.2473947671,67,83,2.03
0.8175384648,-1.8739455413,-0.3238193426,186,99,2.07
1.0835053316,-2.4835895467,0.2370636203,250,85,2.72
0.8242971416,-1.889437647,-0.4006988903,179,101,2.1
0.9503843715,-2.1784523081,0.1245595759,233,87,2.38
0.8026183337,-1.8397459112,-0.4633991719,75,103,2.06
1.1114669886,-2.5476827053,0.0485176899,250,89,2.78
0.8111123154,-1.8592156484,-0.5435199947,142,105,2.1
0.8169492013,-1.8566582932,0.5435199947,54,75,2.1
1.1114115649,-2.5258749208,-0.0481686418,250,91,2.76
0.7848486366,-1.7837042104,0.4499021087,58,77,2
0.9612454274,-2.184596413,-0.1250829354,235,93,2.39
0.8262754365,-1.8778537751,0.3987908003,79,79,2.09
0.8184767989,-1.8601300229,-0.1777977152,81,95,2.04
0.8313773585,-1.8894487747,0.3269480319,78,81,2.09
0.8274714816,-1.8805719943,-0.2522695408,191,97,2.07
0.7914944607,-1.7988079946,0.2413012999,58,83,1.98
0.8234215943,-1.8713679252,-0.3238193426,186,99,2.07
1.0592052692,-2.4072270885,0.2300911609,250,85,2.64
0.8302289075,-1.8868387214,-0.4006988903,178,101,2.1
0.9853771118,-2.2394398375,0.1282230928,244,87,2.45
0.8123183389,-1.8461338578,-0.4656486825,95,103,2.07
1.1154384184,-2.5350266415,0.0483431658,250,89,2.77
0.8169492013,-1.8566582932,-0.5435199947,140,105,2.1
0.7835981184,-1.7657929653,0.5176380902,41,75,2
1.1233969219,-2.5315098843,-0.0483431658,250,91,2.77
0.7746394578,-1.7456051428,0.4409040665,68,77,1.96
0.9721544281,-2.1906936862,-0.125606295,237,93,2.4
0.8321708009,-1.8752486917,0.3987908003,72,79,2.09
0.8243165211,-1.8575495271,-0.1777977152,84,95,2.04
0.8333028606,-1.8777997227,0.3253836873,78,81,2.08
0.8414273157,-1.8961077114,-0.2547069277,190,97,2.09
0.8011676355,-1.8053848544,0.2425199934,55,83,1.99
0.8333028606,-1.8777997227,-0.3253836873,187,99,2.08
0.8323980556,-1.8757607969,0.1795408301,171,85,2.06
0.8361524794,-1.8842211735,-0.4006988903,176,101,2.1
0.9924076453,-2.236333138,0.1282230928,244,87,2.45
