,X,Y,Z,ref,phjj,r
64,-0.5541520126609167,-2.0214794232947626,0.56163732787247,56.0,75.0,2.17
65,-0.5418924670321088,-1.9767580857170484,-0.035777433196431126,65.0,91.0,2.05
66,-0.5538444342380962,-2.020357414462212,0.48364476683930957,57.0,77.0,2.15
67,-0.5385920971939796,-1.9647187362883507,-0.10676535073560543,57.0,93.0,2.04
68,-0.5320174049718964,-1.940735055388919,0.39115844052191706,88.0,79.0,2.05
69,-0.5425463540678899,-1.9791433864247794,-0.17954083006017596,57.0,95.0,2.06
70,-0.5300799382465905,-1.9336674114409744,0.31756196403166875,103.0,81.0,2.03
71,-0.5379352128946131,-1.962322501926089,-0.24983215398055209,49.0,97.0,2.05
72,-0.5274389160576449,-1.924033282376311,0.24495738024434643,89.0,83.0,2.01
73,-0.5326911694694801,-1.9431928666697482,-0.31912630868207087,34.0,99.0,2.04
74,-0.5267440330756211,-1.9214984334221157,0.17431148549531628,91.0,85.0,2.0
75,-0.529422198118375,-1.9312680551187293,-0.3892503505681514,33.0,101.0,2.04
76,-0.530671625176421,-1.9358258136958746,0.10519527204831736,102.0,87.0,2.01
77,-0.5280842279944638,-1.9263873021616436,-0.46114966140492325,0.0,103.0,2.05
78,-0.5392490891441474,-1.9671153633476972,0.03560290913205854,68.0,89.0,2.04
79,-0.5235076617303592,-1.9096925427439002,-0.5305790424601677,0.0,105.0,2.05
80,-0.545274205953255,-2.013886814662231,0.5590491374214448,57.0,75.0,2.16
81,-0.5226142774999706,-1.9301958374712591,-0.034904812874566954,60.0,91.0,2.0
82,-0.5424015987986601,-2.003277279846203,0.47914574575243224,55.0,77.0,2.13
83,-0.516757776980341,-1.9085657492555046,-0.10362519336102881,50.0,93.0,1.98
84,-0.5156559800614903,-1.9044964309875885,0.38352608070685523,111.0,79.0,2.01
85,-0.5154978294848941,-1.9039123260410111,-0.17256837064036332,52.0,95.0,1.98
86,-0.5162586572093207,-1.906722326781416,0.31286893008046185,118.0,81.0,2.0
87,-0.5162038163172932,-1.9065197803411977,-0.24251999337624325,47.0,97.0,1.99
88,-0.513609827290573,-1.8969392789324477,0.24130129994219202,115.0,83.0,1.98
89,-0.5136773639232741,-1.8971887151475089,-0.31130458543005934,32.0,99.0,1.99
90,-0.5154978294848941,-1.9039123260410111,0.17256837064036312,114.0,85.0,1.98
91,-0.5105250747872466,-1.8855462177439308,-0.37970990079932415,29.0,101.0,1.99
92,-0.516757776980341,-1.9085657492555046,0.10362519336102906,111.0,87.0,1.98
93,-0.511843762246623,-1.8904165880238817,-0.45215161923116864,0.0,103.0,2.01
94,-0.5121619919499711,-1.891591920721834,0.034206716617075854,63.0,89.0,1.96
95,-0.5074079416509456,-1.87403356364402,-0.5202262806560669,0.0,105.0,2.01
96,-0.5336059470438826,-1.997020195908146,0.5538727565193944,51.0,75.0,2.14
97,-0.5007243246138469,-1.87396072771671,-0.033857668488329946,60.0,91.0,1.94
98,-0.5256943733056486,-1.9674111320957999,0.47014770357867763,50.0,77.0,2.09
99,-0.5026921777588658,-1.8813254178873409,-0.10205511467374048,54.0,93.0,1.95
100,-0.5093376070554076,-1.9061959362711667,0.38352608070685523,113.0,79.0,2.01
101,-0.5040381479030074,-1.8863627109981673,-0.17082525578541014,55.0,95.0,1.96
102,-0.5099328995530653,-1.9084238183757063,0.31286893008046185,121.0,81.0,2.0
103,-0.5021921166011623,-1.8794539390617104,-0.23886391307408883,46.0,97.0,1.96
104,-0.5047543212776988,-1.8890429897712087,0.24008260650814056,115.0,83.0,1.97
105,-0.49973424156200397,-1.8702553420081922,-0.3066115514788524,30.0,99.0,1.96
106,-0.5040381479030074,-1.8863627109981673,0.17082525578540994,116.0,85.0,1.96
107,-0.49920153527321043,-1.8682616887831833,-0.37589372089179324,30.0,101.0,1.97
108,-0.5078479949666491,-1.9006210631990061,0.10310183379859961,115.0,87.0,1.97
109,-0.49802624839482507,-1.8638631777749683,-0.44540308760085273,0.0,103.0,1.98
110,-0.49556221817452883,-1.854641544956744,0.03350862035958451,66.0,89.0,1.92
111,-0.4986971467699837,-1.866374014867426,-0.5176380902050417,0.0,105.0,2.0
112,-0.5076162478076871,-1.92396945056606,0.5331672329111927,48.0,75.0,2.06
113,-0.4922839480378716,-1.8658568970545306,-0.03368314442395711,62.0,91.0,1.93
114,-0.5045967939632804,-1.912525102637635,0.45665064031804575,49.0,77.0,2.03
115,-0.489136589474205,-1.8539277640675065,-0.10048503598645217,52.0,93.0,1.92
