Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m
-2.6832739467,-1.8085286765,0.8670438011,66,16,75,3.35
-2.130803502,-1.4361631775,-0.0448526845,69,17,91,2.57
-2.221943725,-1.4975917569,0.6186153994,39,18,77,2.75
-2.326950554,-1.5683664394,-0.147064037,71,19,93,2.81
-2.3524524184,-1.5855547153,0.5514379966,84,20,79,2.89
-2.6186648392,-1.764982089,-0.2762837045,69,21,95,3.17
-2.350597406,-1.5843044355,0.4489669147,89,22,81,2.87
-2.3045448783,-1.553264997,-0.3412341615,46,23,97,2.8
-2.5103078139,-1.6919493717,0.3717014974,65,24,83,3.05
-2.0803196555,-1.4021370266,-0.3973435412,37,25,99,2.54
-2.9656172785,-1.9988282964,0.3128891165,128,26,85,3.59
0,0,0,58,27,101,0
-2.1944551488,-1.4790644357,0.138690284,54,28,87,2.65
-2.4724173813,-1.6664111913,-0.6883502263,19,29,103,3.06
-2.2385873368,-1.5088095639,0.0471214974,94,30,89,2.7
-2.8915280441,-1.9488920962,-0.9343367528,69,31,105,3.61
-2.6935646009,-1.8277969513,0.872220182,67,0,75,3.37
-2.1345546222,-1.448464399,-0.0450272086,75,1,91,2.58
-2.2091652976,-1.4990936525,0.6163658889,39,2,77,2.74
-2.3054851354,-1.5644542924,-0.1460173179,79,3,93,2.79
-2.3393369529,-1.5874254321,0.5495299067,69,4,79,2.88
-2.621350311,-1.7787938351,-0.2771552619,70,5,95,3.18
-2.3374357231,-1.5861352971,0.44740257,81,6,81,2.86
-2.3160798865,-1.5716436703,-0.3436715484,34,7,97,2.82
-2.5049800191,-1.6998273739,0.3717014974,66,8,83,3.05
-1.9778302272,-1.3421144822,-0.3785714054,24,9,99,2.42
-2.9510799098,-2.0025414874,0.312017559,122,10,85,3.58
0,0,0,55,11,101,0
-2.1815343217,-1.4803438466,0.1381669245,50,12,87,2.64
-2.8783650045,-1.953198664,-0.803075264,68,13,103,3.57
-2.2007423624,-1.4933780238,0.0464234011,77,14,89,2.66
-2.8773983867,-1.9525427373,-0.9317485624,63,15,105,3.6
-2.6957848194,-1.8416988134,0.8748083724,65,16,75,3.38
-2.1217378218,-1.449522974,-0.0448526845,73,17,91,2.57
-2.1883540235,-1.4950336464,0.6118668678,38,18,77,2.72
-2.3005588883,-1.5716894554,-0.1460173179,76,19,93,2.79
-2.3181276897,-1.5836920605,0.5457137268,66,20,79,2.86
-2.665102896,-1.8207376219,-0.2823846065,89,21,95,3.24
-2.3242858167,-1.5878991527,0.4458382254,78,22,81,2.85
-2.0980480009,-1.4333386277,-0.3119855191,22,23,97,2.56
-2.4996275011,-1.7076885994,0.3717014974,66,24,83,3.05
-1.973604097,-1.3483213858,-0.3785714054,15,25,99,2.42
-2.9283229351,-2.0005635598,0.3102744442,118,26,85,3.56
0,0,0,51,27,101,0
-2.1686271958,-1.4815567268,0.1376435649,51,28,87,2.63
-2.8722146559,-1.9622316609,-0.803075264,79,29,103,3.57
-2.1960399245,-1.5002844789,0.0464234011,90,30,89,2.66
-2.8473230193,-1.9452262614,-0.923983991,63,31,105,3.57
-2.6899856583,-1.8501587688,0.8748083724,72,0,75,3.38
-2.1254115776,-1.4618475216,-0.0450272086,69,1,91,2.58
-2.1756183335,-1.4963794788,0.6096173573,37,2,77,2.71
-2.2791539504,-1.5675907616,-0.1449705988,89,3,93,2.77
-2.2969651323,-1.579841204,0.5418975469,67,4,79,2.84
-2.61012215,-1.7952290447,-0.2771552619,61,5,95,3.18
-2.2785965977,-1.5672074172,0.4380165021,67,6,81,2.8
-2.0281117297,-1.3949251697,-0.3022359716,17,7,97,2.48
-2.4860724429,-1.7099082726,0.370482804,67,8,83,3.04
-1.9693584881,-1.354514982,-0.3785714054,6,9,99,2.42
-2.9056076764,-1.9984625214,0.3085313293,118,10,85,3.54
-2.0381521596,-1.4018309275,-0.4808386683,62,11,101,2.52
-2.1557340614,-1.4827031752,0.1371202054,52,12,87,2.62
-2.8419516239,-1.9546802048,-0.7963267324,73,13,103,3.54
-2.1913158126,-1.5071761269,0.0464234011,86,14,89,2.66
-2.8332393324,-1.948687934,-0.9213958006,61,15,105,3.56
-2.6921012497,-1.8640992819,0.8773965629,77,16,75,3.39
-2.112588379,-1.4628255459,-0.0448526845,67,17,91,2.57
-2.146874414,-1.486566322,0.6028688256,37,18,77,2.68
-2.2824281529,-1.5804281808,-0.1454939584,94,19,93,2.78
-2.2354978621,-1.5479321068,0.5285409172,93,20,79,2.77
-2.6208497112,-1.8147623775,-0.2788983768,67,21,95,3.2
-2.2574213925,-1.563112679,0.4348878128,93,22,81,2.78
-2.0971608733,-1.4521430345,-0.3132042126,18,23,97,2.57
-2.4888485073,-1.7233604106,0.3717014974,67,24,83,3.05
-1.9488530007,-1.3494497948,-0.3754427161,0,25,99,2.4
-2.8911248376,-2.0019097477,0.3076597719,90,26,85,3.53
-2.0095269591,-1.3914624354,-0.4751143985,61,27,101,2.49
-2.1510653815,-1.4894682855,0.1371202054,55,28,87,2.62
-2.8277860751,-1.9580519092,-0.7940772218,72,29,103,3.53
-2.1865700732,-1.5140528996,0.0464234011,75,30,89,2.66
-2.8112207741,-1.946581551,-0.9162194197,64,31,105,3.54
-2.6783077464,-1.8670238154,0.8748083724,67,0,75,3.38
-2.1079823594,-1.4694552083,-0.0448526845,72,1,91,2.57
-2.1342003816,-1.4877315516,0.6006193151,36,2,77,2.67
-2.2774518362,-1.5875908295,-0.1454939584,76,3,93,2.78
-2.23867666,-1.560561009,0.5304490071,116,4,79,2.78
-2.6069632445,-1.8172902162,-0.2780268194,63,5,95,3.19
-2.2443970808,-1.564548662,0.4333234682,117,6,81,2.77
