"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.060127,3.515,-1.3728,4.0,14.0,98.0,3.774,254260285.0
0.11976,7.001,0.0,65.0,15.0,98.0,7.002,254260285.0
0.064416,3.7657,-1.3708,5.0,16.0,98.0,4.008,254260285.0
0.1199,7.0091,0.16275,76.0,17.0,98.0,7.012,254260285.0
0.06961,4.0693,-1.3752,4.0,18.0,98.0,4.296,254260285.0
0.1197,6.9974,0.32636,72.0,19.0,98.0,7.006,254260285.0
0.075202,4.3963,-1.372,5.0,20.0,98.0,4.606,254260285.0
0.11971,6.9979,0.48941,48.0,21.0,98.0,7.016,254260285.0
0.082336,4.8133,-1.3804,3.0,22.0,98.0,5.008,254260285.0
0.11985,7.0065,0.65377,75.0,23.0,98.0,7.038,254260285.0
0.089976,5.26,-1.3772,7.0,24.0,98.0,5.438,254260285.0
0.12003,7.0171,0.82072,82.0,25.0,98.0,7.066,254260285.0
0.099456,5.8141,-1.3778,2.0,26.0,98.0,5.976,254260285.0
0.11978,7.0022,0.98423,78.0,27.0,98.0,7.072,254260285.0
0.11062,6.4666,-1.3747,6.0,28.0,98.0,6.612,254260285.0
0.11963,6.9932,1.1491,80.0,29.0,98.0,7.088,254260285.0
0.11977,7.0018,-1.3194,74.0,30.0,98.0,7.126,254260285.0
0.1196,6.9919,1.3175,77.0,31.0,98.0,7.116,254260285.0
0.045459,2.3047,-1.367,3.0,0.0,113.0,2.68,254260285.0
0.12746,6.4621,-1.0619,2.0,1.0,113.0,6.55,254260285.0
0.047762,2.4214,-1.3608,3.0,2.0,113.0,2.778,254260285.0
0.13787,6.9899,-0.98256,80.0,3.0,113.0,7.06,254260285.0
0.050775,2.5742,-1.369,3.0,4.0,113.0,2.916,254260285.0
0.13801,6.9969,-0.8184,49.0,5.0,113.0,7.046,254260285.0
0.053326,2.7035,-1.3582,5.0,6.0,113.0,3.026,254260285.0
0.13792,6.9923,-0.65247,64.0,7.0,113.0,7.024,254260285.0
0.057111,2.8954,-1.3708,3.0,8.0,113.0,3.204,254260285.0
0.13795,6.9936,-0.48913,56.0,9.0,113.0,7.012,254260285.0
0.060606,3.0726,-1.3683,5.0,10.0,113.0,3.364,254260285.0
0.13762,6.9771,-0.32543,74.0,11.0,113.0,6.986,254260285.0
0.064746,3.2825,-1.3713,3.0,12.0,113.0,3.558,254260285.0
0.13793,6.9928,-0.16238,102.0,13.0,113.0,6.996,254260285.0
0.069218,3.5092,-1.3706,3.0,14.0,113.0,3.768,254260285.0
0.13777,6.9846,0.0,49.0,15.0,113.0,6.986,254260285.0
0.074201,3.7618,-1.3694,5.0,16.0,113.0,4.004,254260285.0
0.13821,7.0067,0.16271,76.0,17.0,113.0,7.01,254260285.0
0.0803,4.071,-1.3759,4.0,18.0,113.0,4.298,254260285.0
0.13786,6.989,0.32599,65.0,19.0,113.0,6.998,254260285.0
0.086862,4.4037,-1.3744,5.0,20.0,113.0,4.614,254260285.0
0.13771,6.9816,0.4883,39.0,21.0,113.0,7.0,254260285.0
0.095202,4.8265,-1.3843,3.0,22.0,113.0,5.022,254260285.0
0.13796,6.9943,0.65266,74.0,23.0,113.0,7.026,254260285.0
0.10363,5.2539,-1.3757,6.0,24.0,113.0,5.432,254260285.0
0.13817,7.0049,0.81933,77.0,25.0,113.0,7.054,254260285.0
0.11452,5.8061,-1.376,2.0,26.0,113.0,5.968,254260285.0
0.13791,6.9919,0.98284,74.0,27.0,113.0,7.062,254260285.0
0.12762,6.4702,-1.3755,6.0,28.0,113.0,6.616,254260285.0
0.13789,6.9909,1.1488,80.0,29.0,113.0,7.086,254260285.0
0.13787,6.9896,-1.3172,75.0,30.0,113.0,7.114,254260285.0
0.13783,6.9877,1.3168,71.0,31.0,113.0,7.112,254260285.0
0.052141,2.2976,-1.363,3.0,0.0,130.0,2.672,254260285.0
0.14628,6.4459,-1.0593,2.0,1.0,130.0,6.534,254260285.0
0.055025,2.4248,-1.3627,3.0,2.0,130.0,2.782,254260285.0
0.15839,6.9796,-0.98117,81.0,3.0,130.0,7.05,254260285.0
0.057892,2.5511,-1.3568,3.0,4.0,130.0,2.89,254260285.0
0.1585,6.9846,-0.817,55.0,5.0,130.0,7.034,254260285.0
0.061469,2.7087,-1.3609,4.0,6.0,130.0,3.032,254260285.0
0.15844,6.9819,-0.65154,76.0,7.0,130.0,7.014,254260285.0
0.065292,2.8771,-1.3622,2.0,8.0,130.0,3.184,254260285.0
0.15852,6.9851,-0.48857,69.0,9.0,130.0,7.004,254260285.0
0.069763,3.0742,-1.3691,5.0,10.0,130.0,3.366,254260285.0
0.1581,6.9666,-0.32497,86.0,11.0,130.0,6.976,254260285.0
0.074527,3.2841,-1.3721,3.0,12.0,130.0,3.56,254260285.0
0.15836,6.9783,-0.16206,102.0,13.0,130.0,6.982,254260285.0
0.079757,3.5146,-1.3728,3.0,14.0,130.0,3.774,254260285.0
0.15836,6.9782,0.0,65.0,15.0,130.0,6.98,254260285.0
0.08549,3.7672,-1.3715,5.0,16.0,130.0,4.01,254260285.0
0.15859,6.9883,0.16229,76.0,17.0,130.0,6.992,254260285.0
0.092293,4.067,-1.3746,4.0,18.0,130.0,4.294,254260285.0
0.15832,6.9766,0.32543,76.0,19.0,130.0,6.986,254260285.0
0.099841,4.3996,-1.3732,8.0,20.0,130.0,4.61,254260285.0
0.15842,6.9812,0.4883,48.0,21.0,130.0,7.0,254260285.0
0.10948,4.8243,-1.3837,3.0,22.0,130.0,5.02,254260285.0
0.15853,6.9859,0.65192,74.0,23.0,130.0,7.018,254260285.0
0.1194,5.2613,-1.3777,7.0,24.0,130.0,5.44,254260285.0
0.15886,7.0005,0.81886,83.0,25.0,130.0,7.05,254260285.0
0.13202,5.8174,-1.3787,3.0,26.0,130.0,5.98,254260285.0
0.15848,6.9836,0.98173,82.0,27.0,130.0,7.054,254260285.0
0.14695,6.4756,-1.3768,7.0,28.0,130.0,6.622,254260285.0
0.15837,6.9786,1.1468,80.0,29.0,130.0,7.074,254260285.0
0.15838,6.9794,-1.3153,75.0,30.0,130.0,7.104,254260285.0
0.15834,6.9774,1.315,75.0,31.0,130.0,7.102,254260285.0
